category,type,difficulty,question,correct_answer,incorrect_answers
Sports,multiple,hard,Who did Drew Brees pass in all time NFL passing yards in 2018?,Peyton Manning,"[""Tom Brady"", ""Dan Marino"", ""Joe Montana""]"
Vehicles,multiple,medium,Which of the following passenger jets is the longest?,Boeing 747-8,"[""Airbus A350-1000"", ""Airbus A330-200"", ""Boeing 787-10""]"
Entertainment: Music,multiple,medium,&#039;74&ndash;&#039;75 is a 1993 single from the album Ring by what American band?,The Connells,"[""R.E.M."", ""The Ocean Blue"", ""The Bangles""]"
Vehicles,multiple,easy,The Italian automaker Lamborghini uses what animal as its logo?,Bull,"[""Bat"", ""Horse"", ""Snake""]"
Entertainment: Video Games,multiple,easy,Who is able to grab the survivors with his tongue in Left 4 Dead?,Smoker,"[""Jockey"", ""Hunter"", ""Boomer""]"
Entertainment: Japanese Anime &amp; Manga,multiple,easy,Which Pok&eacute;mon and it&#039;s evolutions were banned from appearing in a main role after the Episode 38 Incident?,The Porygon Line,"[""The Pikachu Line"", ""The Elekid Line"", ""The Magby Line""]"
Vehicles,multiple,easy,Which Italian city is home of the car manufacturer &#039;Fiat&#039;?,Turin,"[""Maranello"", ""Modena"", ""Rome""]"
General Knowledge,multiple,easy,The American company &quot;Campbell&#039;s&quot; is most well known for making what food product?,Canned soups,"[""Chocolate"", ""Soft drinks"", ""Sausages""]"
General Knowledge,multiple,easy,What is the name of the extra pedal on a manual or standard transmission car?,Clutch,"[""Shifter"", ""Booster"", ""Parking Brake""]"
Science &amp; Nature,multiple,hard,What is the molecular formula of Ozone?,O3,"[""C6H2O6"", ""N2O"", ""SO4""]"
Geography,boolean,medium,Australia is greater than Greenland in size.,True,"[""False""]"
Entertainment: Video Games,multiple,hard,How many people can you recruit in the game Suikoden in a single playthrough?,107,"[""108"", ""93"", ""96""]"
Science: Mathematics,multiple,hard,What is the smallest number that can be expressed as the sum of two positive cubes in two different ways?,1729,"[""91"", ""561"", ""4104""]"
Entertainment: Comics,multiple,easy,"In DC comics, what is Owlman&#039;s real name?",Thomas Wayne Jr.,"[""Thomas Wayne"", ""Bruce Wayne"", ""Joseph Chill ""]"
Entertainment: Film,multiple,medium,"In the 2014 film &quot;Birdman&quot;, what is the primary instrument in the score?",Drums,"[""Saxophone"", ""Violin"", ""Actual Live Birds Singing""]"
Entertainment: Board Games,multiple,hard,The board game &quot;Ra&quot; was designed by which designer? ,Reiner Knizia,"[""Bruno Cathala"", ""Uwe Rosenburg"", ""Allison Kline""]"
Entertainment: Video Games,multiple,medium,"In the game &quot;Dead By Daylight,&quot; which character starts with the perk &quot;Bond&quot;.",Dwight Fairfield,"[""Claudette Morell"", ""Meg Thomas"", ""Jake Park""]"
Entertainment: Music,multiple,easy,Brian May was the guitarist for which band?,Queen,"[""Pink Floyd"", ""Rolling Stones"", ""The Doors""]"
Science: Computers,multiple,hard,America Online (AOL) started out as which of these online service providers?,Quantum Link,"[""CompuServe"", ""Prodigy"", ""GEnie""]"
Entertainment: Comics,multiple,medium,Which of these game-based comics were published in 2011 by DC Comics?,Infamous,"[""Left 4 Dead: The Sacrifice"", ""Prototype"", ""Kane &amp; Lynch""]"
Entertainment: Film,multiple,easy,In the movie &quot;Cast Away&quot; the main protagonist&#039;s best friend while on the island is named,Wilson,"[""Carson"", ""Jackson"", ""Willy""]"
History,multiple,medium,Which of these countries was NOT a part of the Soviet Union?,Afghanistan,"[""Turkmenistan"", ""Kazakhstan"", ""Uzbekistan""]"
Science: Mathematics,multiple,medium,At what temperature does temp in &deg;C equal temp in &deg;F?,-40,"[""+40"", ""0"", ""+100""]"
Sports,multiple,easy,"Which country produced football players such as Cafu, Roberto Carlos and Pel&eacute;?",Brazil,"[""Argentina"", ""Portugal"", ""Spain""]"
History,multiple,hard,The ontological argument for the proof of God&#039;s existence is first attributed to whom?,Anselm of Canterbury,"[""Ren&eacute; Descartes"", ""Immanuel Kant"", ""Aristotle""]"
Geography,multiple,medium,How many counties in the Republic of Ireland.,26,"[""32"", ""28"", ""30""]"
Vehicles,multiple,medium,Which one of the following is not made by Ford?,Camry,"[""Fusion"", ""Model A"", ""F-150""]"
General Knowledge,boolean,easy,Did Michael Jackson invent the moonwalk?,False,"[""True""]"
Entertainment: Video Games,multiple,easy,"In the first game of the Sly Cooper franchise, what family heirloom did Sly Cooper want to steal back?",Thievius Raccoonus,"[""Raccoon Training 101"", ""The Art of Sneak"", ""Raccoonus Teachus""]"
Entertainment: Music,multiple,medium,Which member of the British pop group &quot;The Spice Girls&quot; was known as Ginger Spice?,Geri Halliwell,"[""Melanie Brown"", ""Emma Bunton"", ""Victoria Beckham""]"
Entertainment: Japanese Anime &amp; Manga,multiple,medium,"In &quot;Black Lagoon&quot;, what colour is Rock&#039;s tie?",Teal,"[""Crimson"", ""Dark Brown"", ""Black""]"
Geography,multiple,hard,What is the land connecting North America and South America?,Isthmus of Panama,"[""Isthmus of Suez"", ""Urals"", ""Australasia""]"
Entertainment: Video Games,boolean,easy,&quot;Undertale&quot; is an RPG created by Toby Fox and released in 2015.,True,"[""False""]"
Entertainment: Television,multiple,easy,Which actor portrays &quot;Walter White&quot; in the series &quot;Breaking Bad&quot;?, Bryan Cranston,"[""Andrew Lincoln"", ""Aaron Paul"", ""RJ Mitte""]"
Entertainment: Film,multiple,medium,"In Star Wars, what&#039;s the name of the new Government created after the defeat of the Galactic Empire?",The New Republic,"[""The Rebel Alliance"", ""The Crimson Dawn"", ""The First Order""]"
Geography,multiple,easy,Which US state is also known as the &quot;Lone Star State&quot;?,Texas,"[""Alabama"", ""Tennessee"", ""Kentucky""]"
Geography,multiple,medium,On which continent/s is the entire country of Spain specifically located when taking into account all of its territory?,Europe and Africa,"[""Europe, Africa and Asia"", ""Europe"", ""Europe and Asia""]"
History,multiple,medium,"When was &quot;The Gadget&quot;, the first nuclear device to be detonated, tested?","July 16, 1945","[""June 22, 1945"", ""August 6, 1945"", ""April 5, 1945""]"
Entertainment: Music,multiple,medium,Which European capital city gives its name to a 1981 song by Ultravox?,Vienna,"[""Berlin"", ""Paris"", ""Brussels""]"
Celebrities,multiple,medium,In which situation was musician John Lennon assassinated?,Attempting to enter the Dakota Apartments building,"[""During an impromptu walk through Central Park"", ""Signing an autograph outside the Record Plant studio"", ""Waiting outside a music venue in Manhattan following a gig""]"
History,multiple,easy,"According to legend, the ancient Greeks constructed a huge wooden model of which animal to gain entrance to Troy?",Horse,"[""Goat"", ""Elephant"", ""Wolf""]"
Geography,multiple,medium,What is the capital of Lithuania?,Vilnius,"[""Tallinn"", ""Helsinki"", ""Riga""]"
Geography,multiple,medium,How many states are in Australia?,6,"[""7"", ""8"", ""5""]"
Geography,multiple,hard,Which country is the Taedong River in?,North Korea,"[""South Korea"", ""Japan"", ""China""]"
Geography,multiple,hard,Where is the city of Haarlem located?,The Netherlands,"[""Germany"", ""United States"", ""Switzerland""]"
Entertainment: Video Games,multiple,hard,In the National Pokedex what number is Porygon-Z?,474,"[""376"", ""432"", ""589""]"
General Knowledge,multiple,medium,What is the defining characteristic of someone who is described as hirsute?,Hairy,"[""Rude"", ""Funny"", ""Tall""]"
Entertainment: Music,boolean,easy,The music video to The Buggle&#039;s &quot;Video Killed the Radio Star&quot; was the first music video to broadcast on MTV.,True,"[""False""]"
Entertainment: Comics,multiple,medium,"In Marvel Comics, Taurus is the founder and leader of which criminal organization?",Zodiac,"[""Scorpio"", ""Tiger Mafia"", ""The Union""]"
Science: Computers,multiple,medium,Approximately how many Apple I personal computers were created?,200,"[""100"", ""500"", ""1000""]"
Entertainment: Music,boolean,easy,Eurobeat is primarily an Italian genre of music.,True,"[""False""]"
Entertainment: Music,multiple,easy,What is the frontman&#039;s name of the metal band Megadeth?,Dave Mustaine,"[""Rob Halford"", ""Vince Neil"", ""James Hetfield""]"
Geography,multiple,hard,What is the capital of Mauritius?,Port Louis,"[""Port Moresby"", ""Port Vila"", ""Port-au-Prince""]"
General Knowledge,multiple,easy,The Quran is the holy book of which Abrahamic religion?,Islam,"[""Christianity"", ""Judaism"", ""Rastafarianism""]"
Entertainment: Music,boolean,medium,"The composition &quot;1812 Overture&quot; by Tchaikovsky symbolized the War of 1812 between the United States, and Great Britain.",False,"[""True""]"
Entertainment: Video Games,multiple,medium,Which Dota 1 hero changed gender when ported to Dota 2?,Legion Commander,"[""Axe"", ""Keeper of the Light"", ""Templar Assassin""]"
Entertainment: Television,multiple,easy,"In the TV show &quot;Mad Men&quot;, what was Donald Draper&#039;s birthname?",Richard &quot;Dick&quot; Whitman,"[""Donald Draper"", ""John Ashbury"", ""Michael &quot;Mikey&quot; Wilhelm""]"
History,multiple,medium,Adolf Hitler was born on which date?,"April 20, 1889","[""June 12, 1889"", ""February 6, 1889"", ""April 16, 1889""]"
Science: Gadgets,multiple,hard,Which round does a WW2 M1 Garand fire?,.30-06,"["".308"", ""7.62"", ""7.62x51mm""]"
Entertainment: Video Games,multiple,medium,"The original mascot of the popular Nintendo game, &quot;Splatoon&quot; was going to be...",Mario,"[""Inklings"", ""Octolings"", ""Zelda""]"
Entertainment: Film,boolean,easy,"Samuel L. Jackson had the words, &#039;Bad Motherf*cker&#039; in-scripted on his lightsaber during the filming of Star Wars.",True,"[""False""]"
Vehicles,multiple,hard,Which of these is NOT a car model produced by Malaysian car manufacturer Proton?,Kelisa,"[""Saga"", ""Perdana"", ""Inspira""]"
Science: Computers,multiple,medium,How fast is USB 3.1 Gen 2 theoretically?,10 Gb/s,"[""5 Gb/s"", ""8 Gb/s"", ""1 Gb/s""]"
Entertainment: Books,multiple,hard,"In Margaret Atwood&#039;s &quot;The Handmaid&#039;s Tale&quot;, what is Offred&#039;s real name is implied to be?",June,"[""August"", ""April"", ""May""]"
Art,multiple,medium,What nationality was the surrealist painter Salvador Dali?,Spanish,"[""Italian"", ""French"", ""Portuguese""]"
Entertainment: Music,multiple,medium,Who is the lead singer of the Smashing Pumpkins?,Billy Corgan,"[""Brett Scallions"", ""Eddie Vedder"", ""Chino Moreno""]"
Entertainment: Japanese Anime &amp; Manga,multiple,easy,"In Digimon, what is the Japanese name for the final evolutionary stage?",Ultimate,"[""Mega"", ""Adult"", ""Champion""]"
Entertainment: Music,multiple,medium,"How many studio albums have the heavy metal band, &#039;Metallica&#039; released in the period between 1983 and 2016?",10,"[""7"", ""9"", ""12""]"
Entertainment: Television,multiple,medium,Which of the following figures did NOT have a cameo on &quot;The Drew Carey Show&quot; (1995-2004)?,Bill Cosby,"[""Donald Trump"", ""&quot;Weird Al&quot; Yankovic"", ""Daffy Duck""]"
Science: Mathematics,multiple,medium,"In the complex plane, multiplying a given function by i rotates it anti-clockwise by how many degrees?",90,"[""180"", ""270"", ""0""]"
Geography,boolean,medium,The Southeast Asian island of Borneo is politically divided among 3 countries.,True,"[""False""]"
Entertainment: Japanese Anime &amp; Manga,multiple,medium,"In &quot;Toriko&quot;, which of the following Heavenly Kings has an enhanced sense of Hearing?",Zebra,"[""Coco"", ""Sunny"", ""Toriko""]"
Entertainment: Video Games,multiple,easy,In &quot;PUBATTLEGROUNDS&quot; which ammo type does the M24 use?,7.62mm,"[""5.56mm"", ""9mm"", "".300 Magnum""]"
Entertainment: Music,boolean,medium,Soulja Boy&#039;s &#039;Crank That&#039; won a Grammy for Best Rap Song in 2007.,False,"[""True""]"
Entertainment: Cartoon &amp; Animations,multiple,medium,Which Hanna-Barbera cartoon character travelled with a canine companion named Beegle Beagle?,Grape Ape,"[""Boss Gator"", ""Wally Gator"", ""Yogi Bear""]"
Science &amp; Nature,multiple,hard,How many protons are in an oxygen atom?,Eight,"[""Four"", ""Two"", ""Six""]"
Vehicles,multiple,hard,How much horsepower is produced by the SD40-2 Locomotive?,"3,000","[""3,200"", ""2,578"", ""2,190""]"
History,multiple,medium,Which king was killed at the Battle of Bosworth Field in 1485? ,Richard III,"[""Edward V"", ""Henry VII"", ""James I""]"
Science: Gadgets,multiple,easy,What does GPS stand for?,Global Positioning System,"[""Global Personal System"", ""General Positioning System"", ""General Personal Satellite""]"
Entertainment: Television,multiple,easy,"What is the real name of the famous spanish humorist, El Risitas?",Juan Joya Borga,"[""Gabriel Garcia Marquez"", ""Jesus Quintero"", ""Ernesto Guevara""]"
History,multiple,easy,To what political party did Abraham Lincoln belong when elected POTUS?,Republican,"[""Democrat"", ""Independent"", ""Whig""]"
Entertainment: Japanese Anime &amp; Manga,multiple,medium,"In Dragon Ball Z, who was the first character to go Super Saiyan 2?",Gohan,"[""Goku"", ""Vegeta"", ""Trunks""]"
History,multiple,medium,What was Genghis Khan&#039;s real name?,Tem&uuml;jin,"[""M&ouml;ngke"", ""&Ouml;gedei"", ""Tem&uuml;r""]"
Entertainment: Video Games,multiple,easy,"In CoD: Black Ops III, what is the name of the rogue A.I. antagonist?",Corvus,"[""Cabal"", ""Legion"", ""Icarus""]"
Geography,multiple,hard,Which of these is NOT a city in India?,Islamabad,"[""Hyderabad"", ""Ahmedabad"", ""Ghaziabad""]"
Entertainment: Television,multiple,hard,"In Star Trek, what is the name of Spock&#039;s father?",Sarek,"[""Tuvok"", ""T&#039;Pal"", ""Surak""]"
Entertainment: Video Games,multiple,hard,Why was the character Trevor Philips discharged from the Air Force?,Mental Health Issues,"[""Injuries"", ""Disease"", ""Danger to Others""]"
Art,multiple,easy,Which artist painted the late 15th century mural &#039;The Last Supper&#039;?,Leonardo da Vinci,"[""Piero della Francesca"", ""Paolo Uccello"", ""Luca Pacioli""]"
Sports,boolean,medium,Skateboarding was included in the 2020 Summer Olympics in Tokyo.,True,"[""False""]"
Entertainment: Video Games,multiple,easy,"In &quot;Mario &amp; Sonic at the Olympic Games&quot;, characters are split into how many types?",4,"[""6"", ""5"", ""3""]"
Entertainment: Video Games,multiple,medium,The rights to the &quot;Rayman&quot; series are owned by which company?,Ubisoft,"[""Nintendo"", ""EA"", ""Sony""]"
Entertainment: Board Games,multiple,medium,Who is the main character in the VHS tape included in the board game Nightmare?,The Gatekeeper,"[""The Kryptkeeper"", ""The Monster"", ""The Nightmare""]"
Entertainment: Music,boolean,easy,"The song &quot;Stronger Than You&quot; is a single by Estelle, who played Garnet in Steven Universe.",True,"[""False""]"
Entertainment: Music,boolean,hard,"Pete Townshend&#039;s solo album, &quot;White City: A Novel&quot;, is set in the metropolitan area of Chicago.",False,"[""True""]"
Entertainment: Video Games,multiple,hard,"In the &quot;Ace Attorney&quot; series, who was the truly responsible of the forging of the autopsy report of the pivotal IS-7 incident?",Bansai Ichiyanagi,"[""Manfred Von Karma"", ""Gregory Edgeworth"", ""Tateyuki Shigaraki""]"
Entertainment: Japanese Anime &amp; Manga,boolean,easy,Clefairy was intended to be Ash&#039;s starting Pok&eacute;mon in the pilot episode of the cartoon.,True,"[""False""]"
Geography,boolean,easy,Alaska and Hawaii are the only US states that have their own timezones.,True,"[""False""]"
General Knowledge,boolean,hard,"In Scandinavian languages, the letter &Aring; means river.",True,"[""False""]"
Science: Mathematics,multiple,easy,How many sides does a trapezium have?,4,"[""3"", ""5"", ""6""]"
Entertainment: Television,multiple,easy,Which company has exclusive rights to air episodes of the &quot;The Grand Tour&quot;?,Amazon,"[""Netflix"", ""BBC"", ""CCTV""]"
Science &amp; Nature,multiple,easy,What is the common name of the chemical compound &quot;dihydrogen monoxide&quot;?,Water,"[""Methane"", ""Ammonia "", ""Laughing Gas""]"
History,multiple,medium,"In relation to the British Occupation in Ireland, what does the IRA stand for.",Irish Republican Army,"[""Irish Rebel Alliance"", ""Irish Reformation Army"", ""Irish-Royal Alliance""]"
Art,multiple,medium,"In &quot;Last Supper&quot; by Leonardo Da Vinci, what two colors were the robes worn by Jesus?",Red and Blue,"[""Red and White"", ""Red and Yellow"", ""Red and Black""]"
Entertainment: Video Games,multiple,medium,Which game won the &quot;Games for Impact&quot; award in The Game Awards 2015?,Life is Strange,"[""Ori and the Blind Forest"", ""Rocket League"", ""Metal Gear Solid V: The Phantom Pain""]"
Entertainment: Video Games,multiple,hard,"Which character, in the game &quot;Morenatsu&quot;, has the most possible endings to their route, at a total of four different endings?",Shin Kuroi,"[""Kouya Aotsuki"", ""Soutarou Touno"", ""Torahiko Ooshima""]"
Animals,boolean,medium,"The Ceratosaurus, a dinosaur known for having a horn on the top of its nose, is also known to be a decendent of the Tyrannosaurus Rex.",False,"[""True""]"
Entertainment: Video Games,multiple,medium,"Who is the creator of the free, open-source rhythm game &#039;osu!&#039;?",Dean &#039;Peppy&#039; Herbert,"[""Daisuke &#039;Pixel&#039; Amaya"", ""Eric &#039;ConcernedApe&#039; Barone"", ""Toby &#039;FwugRadiation&#039; Fox""]"
Entertainment: Video Games,multiple,medium,Which soccer player is featured on the cover of EA Sport&#039;s FIFA 18?,Cristiano Ronaldo,"[""Lionel Messi"", ""Neymar"", ""Harry Kane""]"
Science &amp; Nature,multiple,easy,What produces the green colour of most plant leaves?,Chlorophyll,"[""Light refraction"", ""Natural pigments"", ""UV radiation""]"
Geography,boolean,medium,Seoul is the capital of North Korea.,False,"[""True""]"
Entertainment: Books,multiple,hard,"In the &quot;Harry Potter&quot; series, what is Headmaster Dumbledore&#039;s full name?",Albus Percival Wulfric Brian Dumbledore,"[""Albus Valum Jetta Mobius Dumbledore"", ""Albus James Lunae Otto Dumbledore"", ""Albus Valencium Horatio Kul Dumbledore""]"
General Knowledge,boolean,easy,Vietnam&#039;s national flag is a red star in front of a yellow background.,False,"[""True""]"
Science &amp; Nature,multiple,easy,How many laws of thermodynamics are there?,Four,"[""Three"", ""Two"", ""Five""]"
General Knowledge,multiple,easy,In which fast food chain can you order a Jamocha Shake?,Arby&#039;s,"[""McDonald&#039;s"", ""Burger King"", ""Wendy&#039;s""]"
Science &amp; Nature,multiple,easy,The biggest distinction between a eukaryotic cell and a prokaryotic cell is:,The presence or absence of a nucleus,"[""The overall size"", ""The presence or absence of certain organelles"", ""The mode of reproduction""]"
Geography,multiple,medium,What is the capital of Australia?,Canberra,"[""Sydney"", ""Melbourne"", ""Brisbane""]"
Celebrities,multiple,easy,What was the cause of Marilyn Monroes suicide?,Drug Overdose,"[""Knife Attack"", ""House Fire"", ""Gunshot""]"
Entertainment: Music,multiple,medium,Which of the following is NOT a song in BROCKHAMPTON&#039;s SATURATION album series?,LAMB,"[""HOTTIE"", ""SWAMP"", ""BUMP""]"
Entertainment: Television,multiple,easy,"In the Star Trek universe, what color is Vulcan blood?",Green,"[""Blue"", ""Red"", ""Purple""]"
Entertainment: Television,multiple,easy,"Which show is known for the songs &quot;You are a Pirate&quot;, &quot;Cooking by the Book&quot; and &quot;We Are Number One&quot;?",LazyTown,"[""Sofia the First"", ""DuckTales"", ""Tom and Jerry""]"
Vehicles,multiple,easy,What animal is pictured on the logo of the automobile manufacturer Porsche?,Horse,"[""Bull"", ""Lion"", ""Cheetah""]"
Entertainment: Video Games,multiple,medium,Which of these was NOT a launch title for the Nintendo 64?,Mario Kart 64,"[""Super Mario 64"", ""Pilotwings 64"", ""Saikyō Habu Shōgi""]"
Entertainment: Comics,multiple,easy,"In Black Hammer, what city did the heroes save from the Anti-God?",Spiral City,"[""Mega-City One"", ""Rockwood"", ""Star City""]"
History,multiple,hard,When did Canada leave the confederation to become their own nation?,"July 1st, 1867","[""July 1st, 1763"", ""July 1st, 1832"", ""July 1st, 1902""]"
Entertainment: Music,multiple,medium,What country did Shirley Bassey originate from?,Wales,"[""America"", ""England"", ""Canada""]"
Vehicles,multiple,hard,Which Audi does not use Haldex based all wheel drive system?,Audi A8,"[""Audi TT"", ""Audi S3"", ""Audi A3""]"
Entertainment: Television,multiple,easy,In the show &quot;Futurama&quot; what is Fry&#039;s full name?,Philip J. Fry,"[""Fry J. Philip"", ""Fry Rodr&iacute;guez"", ""Fry Philip""]"
Entertainment: Music,multiple,medium,What French artist/band is known for playing on the midi instrument &quot;Launchpad&quot;?,Madeon,"[""Daft Punk "", ""Disclosure"", ""David Guetta""]"
Entertainment: Video Games,multiple,easy,"In the Halo series, which era of SPARTAN is Master Chief? ",SPARTAN-II,"[""SPARTAN-I"", ""SPARTAN-III"", ""SPARTAN-IV""]"
Mythology,multiple,hard,"According to Algonquian folklore, how does one transform into a Wendigo?",Participating in cannibalism.,"[""Excessive mutilation of animal corpses."", ""Performing a ritual involving murder."", ""Drinking the blood of many slain animals.""]"
Mythology,multiple,hard,"In Greek Mythology, who was the daughter of King Minos?",Ariadne,"[""Athena"", ""Ariel"", ""Alana""]"
Science: Computers,boolean,hard,The IBM PC used an Intel 8008 microprocessor clocked at 4.77 MHz and 8 kilobytes of memory.,False,"[""True""]"
Entertainment: Video Games,multiple,easy,What is the name of the playable character in the 2018 video game Deltarune: Chapter 1?,Kris,"[""Frisk"", ""Chara"", ""Gaster""]"
Entertainment: Books,multiple,hard,"In which classic novel by Mark Twain did a beggar and Prince of Wales switch clothes, and learn about social class inequality?",The Prince and the Pauper,"[""Hamlet"", ""Wealthy Boy and the Schmuck"", ""A Modern Twain Story""]"
Entertainment: Music,multiple,medium,What&#039;s the most common time signature for rock songs?,4/4,"[""1/2"", ""8/12"", ""2/4""]"
Entertainment: Video Games,boolean,easy,"The Konami Code is known as Up, Up, Down, Down, Left, Right, Right, Left, B, A, Start.",False,"[""True""]"
Entertainment: Film,multiple,medium, In what movie does Eddie Murphy swap identities with Dan Aykroyd?,Trading Places,"[""Ghostbusters"", ""Coming to America"", ""The Blues Brothers""]"
Entertainment: Music,multiple,easy,What was Rage Against the Machine&#039;s debut album?,Rage Against the Machine,"[""Evil Empire"", ""Bombtrack"", ""The Battle Of Los Angeles""]"
Sports,multiple,medium,"In what year did Steaua București win the European Cup, actual UEFA Champions League, against FC Barcelona?",1986,"[""1990"", ""1982"", ""1989""]"
History,multiple,medium,Which infamous European traitor was known as &quot;the last person to enter Parliament with honest intentions&quot;?,Guy Fawkes,"[""Robert Catesby"", ""Francis Tresham"", ""Everard Digby""]"
History,boolean,hard,The fork came to Italy before any other European country.,True,"[""False""]"
History,boolean,easy,The Cold War ended with Joseph Stalin&#039;s death.,False,"[""True""]"
Science &amp; Nature,multiple,hard,"On the Beaufort Scale of wind force, what wind name is given to number 8?",Gale,"[""Storm"", ""Hurricane"", ""Breeze""]"
Entertainment: Television,boolean,medium,"In &quot;Star Trek: The Next Generation&quot;, Data is the only android in existence.",False,"[""True""]"
Entertainment: Video Games,boolean,hard,"In &quot;The Sims&quot; series, the most members in a household you can have is 8.",True,"[""False""]"
Science &amp; Nature,multiple,hard,Which one of these is scientific term for &quot;Brain Freeze&quot;?,Sphenopalatine Ganglioneuralgia,"[""Hyacinthoides Italica"", ""Amaranthus Retroflexus"", ""Amblyomma Americanum""]"
General Knowledge,multiple,easy,What country does sushi &amp; karaoke come from?,Japan,"[""China"", ""South Korea"", ""Vietnam""]"
Entertainment: Board Games,multiple,hard,Which of these cards from &quot;Magic: The Gathering&quot; has a flavor text that begins with &quot;Oi oi oi&quot;?,Uthden Troll,"[""Lotleth Troll"", ""Albino Troll"", ""Harvester Troll""]"
Entertainment: Music,boolean,easy,The music group Daft Punk got their name from a negative review they received.,True,"[""False""]"
Entertainment: Video Games,multiple,easy,What was the release date of &quot;Grand Theft Auto IV&quot;?,"April 29, 2008","[""May 21, 2009"", ""June 22, 2010"", ""July 28, 2008""]"
Entertainment: Video Games,multiple,easy,When was &quot;Luigi&#039;s Mansion 3&quot; released?,"October 31st, 2019","[""January 13th, 2019"", ""September 6th, 2018"", ""October 1st, 2019""]"
Entertainment: Television,multiple,medium,"In Battlestar Galactica (2004), what is the name of the President of the Twelve Colonies?",Laura Roslin,"[""William Adama"", ""Tricia Helfer"", ""Harry Stills""]"
Science &amp; Nature,multiple,medium,"In Chemistry, how many isomers does Butanol (C4H9OH) have?",4,"[""3"", ""5"", ""6""]"
Geography,multiple,easy,In which Indian city can the Taj Mahal be found?,Agra,"[""Mumbai"", ""Faridabad"", ""Thane""]"
Geography,boolean,hard,The flag of Belarus has a red and white embroidery pattern on the hoist side.,True,"[""False""]"
Entertainment: Video Games,boolean,medium,"In &quot;Team Fortress 2&quot;, the &quot;Bill&#039;s Hat&quot; is a reference to the game &quot;Dota 2&quot;.",False,"[""True""]"
Science &amp; Nature,boolean,easy,An Astronomical Unit is the distance between Earth and the Moon.,False,"[""True""]"
Science: Computers,multiple,medium,"In programming, what do you call functions with the same name but different implementations?",Overloading,"[""Overriding"", ""Abstracting"", ""Inheriting""]"
Sports,multiple,hard,Which is Kenesisa Bekele&#039;s personal best at marathon?,2:01:41,"[""2:01:12"", ""2:01:45"", ""2:01:51""]"
Entertainment: Television,multiple,medium,"In Naruto: Shippuden, which of the following elements is a &quot;Kekkei Tōta?&quot;",Particle Style,"[""Any Doujutsu"", ""Shadow Style"", ""Ice Style""]"
Entertainment: Film,multiple,medium,What is the name of James Dean&#039;s character in the 1955 movie &quot;Rebel Without a Cause&quot;?,Jim Stark,"[""Ned Stark"", ""Jim Kane"", ""Frank Stark""]"
Entertainment: Music,multiple,medium,"Moby, an American DJ, singer, and musician, achieved worldwide success for the 1999 release of which of the following albums?",Play,"[""Everything Is Wrong"", ""Moby"", ""18""]"
Entertainment: Music,boolean,hard,The singer Billie Holiday was also known as &quot;Lady Day&quot;.,True,"[""False""]"
Science &amp; Nature,boolean,easy,Psychology is the science of behavior and mind.,True,"[""False""]"
Entertainment: Film,multiple,easy,What was the first feature-length computer-animated movie?,Toy Story,"[""Tron"", ""Lion king"", ""101 Dalmatians""]"
Entertainment: Video Games,multiple,medium,How many metal bars does it take to smith a platebody in the MMO &quot;RuneScape&quot;?,5 bars,"[""3 bars"", ""2 bars"", ""10 bars""]"
Sports,multiple,medium,What is the name of the AHL affiliate of the Toronto Maple Leafs?,Toronto Marlies,"[""Toronto Rock"", ""Toronto Argonauts"", ""Toronto Wolfpack""]"
Science &amp; Nature,multiple,medium,The human right lung has how many lobes?,3,"[""4"", ""2"", ""1""]"
Science: Mathematics,multiple,easy,"In Roman Numerals, what does XL equate to?",40,"[""60"", ""15"", ""90""]"
Entertainment: Video Games,multiple,medium,In what year was the first eSports competition?,1972,"[""1989"", ""1990"", ""2000""]"
Entertainment: Books,multiple,medium,"What was the name of the Mysterious Island, in Jules Verne&#039;s &quot;The Mysterious Island&quot;?",Lincoln Island,"[""Vulcania Island"", ""Prometheus Island"", ""Neptune Island""]"
Geography,multiple,medium,"What is the capital of the State of Washington, United States?",Olympia,"[""Washington D.C."", ""Seattle"", ""Yukon""]"
Science &amp; Nature,multiple,hard,The word &quot;science&quot; stems from the word &quot;scire&quot; meaning what?,To know,"[""To measure"", ""To live"", ""To count""]"
Entertainment: Board Games,multiple,hard,The Dice Tower network of board game podcasts and videos is run by which individual?,Tom Vasel,"[""Jason LeVine"", ""Borth Sampson"", ""Uncle Pennybags""]"
Entertainment: Board Games,multiple,medium,Which of the following is not a color of mana in Magic: The Gathering?,Yellow,"[""White"", ""Green"", ""Blue""]"
Entertainment: Musicals &amp; Theatres,multiple,medium,What was George Bizet&#039;s last opera?,Carmen,"[""Don Rodrigue"", ""Gris&eacute;lidis"", ""Les p&ecirc;cheurs de perles""]"
History,multiple,hard,Which Australian Prime Minister disappeared in 1967 and was never found?,Harold Holt,"[""Paul Keating"", ""Edmund Barton"", ""Scott Morrison""]"
Entertainment: Music,multiple,medium,Which of these is not an Ed Sheeran album?,-,"[""+"", ""X"", ""&divide;""]"
Entertainment: Video Games,multiple,hard,"In &quot;Starbound&quot;, according to the asset files, the description of the &quot;Erchius Ghost&quot; is the same as which other assets?",Spookit,"[""Petricub"", ""Trictus"", ""Pyromantle""]"
Science: Computers,multiple,easy,The C programming language was created by this American computer scientist. ,Dennis Ritchie,"[""Tim Berners Lee"", ""al-Khwārizmī"", ""Willis Ware""]"
